Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,3,146,9,Some Random Commen with Id 0
1,2,8,34,0,Some Random Commen with Id 1
2,2,8,8,8,Some Random Commen with Id 2
3,2,8,152,7,Some Random Commen with Id 3
4,2,8,162,3,Some Random Commen with Id 4
5,3,7,192,3,Some Random Commen with Id 5
6,3,7,59,0,Some Random Commen with Id 6
7,3,7,3,9,Some Random Commen with Id 7
8,3,7,95,6,Some Random Commen with Id 8
9,3,7,74,7,Some Random Commen with Id 9
10,3,7,110,9,Some Random Commen with Id 10
11,4,3,166,0,Some Random Commen with Id 11
12,4,3,155,5,Some Random Commen with Id 12
13,4,3,65,0,Some Random Commen with Id 13
14,4,3,4,4,Some Random Commen with Id 14
15,5,7,199,7,Some Random Commen with Id 15
16,5,7,122,6,Some Random Commen with Id 16
17,5,7,33,2,Some Random Commen with Id 17
18,5,7,198,5,Some Random Commen with Id 18
19,5,7,55,5,Some Random Commen with Id 19
20,5,7,92,4,Some Random Commen with Id 20
21,6,7,180,2,Some Random Commen with Id 21
22,6,7,187,0,Some Random Commen with Id 22
23,6,7,3,1,Some Random Commen with Id 23
24,6,7,108,2,Some Random Commen with Id 24
25,6,7,179,1,Some Random Commen with Id 25
26,7,2,126,5,Some Random Commen with Id 26
27,7,2,50,3,Some Random Commen with Id 27
28,7,2,196,3,Some Random Commen with Id 28
29,7,2,83,4,Some Random Commen with Id 29
30,7,2,180,3,Some Random Commen with Id 30
31,7,2,101,4,Some Random Commen with Id 31
32,7,2,158,3,Some Random Commen with Id 32
33,7,2,156,6,Some Random Commen with Id 33
34,7,2,111,1,Some Random Commen with Id 34
35,8,0,62,4,Some Random Commen with Id 35
36,9,6,59,7,Some Random Commen with Id 36
37,9,6,32,7,Some Random Commen with Id 37
38,9,6,95,0,Some Random Commen with Id 38
39,9,6,22,7,Some Random Commen with Id 39
40,9,6,95,9,Some Random Commen with Id 40
41,9,6,71,2,Some Random Commen with Id 41
42,10,8,177,1,Some Random Commen with Id 42
43,10,8,18,7,Some Random Commen with Id 43
44,10,8,186,3,Some Random Commen with Id 44
45,10,8,103,4,Some Random Commen with Id 45
46,10,8,99,3,Some Random Commen with Id 46
47,10,8,55,0,Some Random Commen with Id 47
48,10,8,34,9,Some Random Commen with Id 48
49,10,8,130,0,Some Random Commen with Id 49
50,11,1,17,8,Some Random Commen with Id 50
51,12,0,158,3,Some Random Commen with Id 51
52,12,0,72,3,Some Random Commen with Id 52
53,12,0,31,3,Some Random Commen with Id 53
54,12,0,74,9,Some Random Commen with Id 54
55,12,0,116,1,Some Random Commen with Id 55
56,12,0,195,9,Some Random Commen with Id 56
57,12,0,64,2,Some Random Commen with Id 57
58,12,0,125,9,Some Random Commen with Id 58
59,13,9,32,1,Some Random Commen with Id 59
60,13,9,176,8,Some Random Commen with Id 60
61,13,9,124,6,Some Random Commen with Id 61
62,13,9,155,3,Some Random Commen with Id 62
63,14,3,177,9,Some Random Commen with Id 63
64,14,3,111,1,Some Random Commen with Id 64
65,14,3,140,8,Some Random Commen with Id 65
66,14,3,122,5,Some Random Commen with Id 66
67,14,3,138,5,Some Random Commen with Id 67
68,15,9,142,0,Some Random Commen with Id 68
69,15,9,95,7,Some Random Commen with Id 69
70,15,9,51,7,Some Random Commen with Id 70
71,15,9,74,3,Some Random Commen with Id 71
72,15,9,116,3,Some Random Commen with Id 72
73,15,9,184,8,Some Random Commen with Id 73
74,17,6,95,8,Some Random Commen with Id 74
75,17,6,39,9,Some Random Commen with Id 75
76,17,6,143,7,Some Random Commen with Id 76
77,17,6,146,9,Some Random Commen with Id 77
78,17,6,92,1,Some Random Commen with Id 78
79,17,6,71,9,Some Random Commen with Id 79
80,18,7,84,1,Some Random Commen with Id 80
81,18,7,60,7,Some Random Commen with Id 81
82,18,7,103,2,Some Random Commen with Id 82
83,18,7,102,9,Some Random Commen with Id 83
84,19,6,143,0,Some Random Commen with Id 84
85,19,6,77,3,Some Random Commen with Id 85
86,19,6,70,6,Some Random Commen with Id 86
87,19,6,60,5,Some Random Commen with Id 87
88,19,6,120,9,Some Random Commen with Id 88
89,19,6,123,1,Some Random Commen with Id 89
90,19,6,104,0,Some Random Commen with Id 90
91,19,6,141,1,Some Random Commen with Id 91
92,19,6,68,6,Some Random Commen with Id 92
93,20,5,82,6,Some Random Commen with Id 93
94,20,5,60,4,Some Random Commen with Id 94
95,20,5,154,1,Some Random Commen with Id 95
96,20,5,32,1,Some Random Commen with Id 96
97,20,5,117,0,Some Random Commen with Id 97
98,20,5,80,3,Some Random Commen with Id 98
99,21,1,44,7,Some Random Commen with Id 99
100,21,1,179,3,Some Random Commen with Id 100
101,21,1,169,4,Some Random Commen with Id 101
102,21,1,107,8,Some Random Commen with Id 102
103,21,1,27,0,Some Random Commen with Id 103
104,21,1,95,7,Some Random Commen with Id 104
105,21,1,162,8,Some Random Commen with Id 105
106,21,1,158,9,Some Random Commen with Id 106
107,21,1,175,3,Some Random Commen with Id 107
108,22,0,160,5,Some Random Commen with Id 108
109,22,0,11,6,Some Random Commen with Id 109
110,22,0,127,6,Some Random Commen with Id 110
111,22,0,149,1,Some Random Commen with Id 111
112,22,0,89,7,Some Random Commen with Id 112
113,22,0,4,4,Some Random Commen with Id 113
114,22,0,18,9,Some Random Commen with Id 114
115,22,0,33,1,Some Random Commen with Id 115
116,24,3,129,9,Some Random Commen with Id 116
117,24,3,80,9,Some Random Commen with Id 117
118,24,3,72,7,Some Random Commen with Id 118
119,25,6,81,2,Some Random Commen with Id 119
120,25,6,16,7,Some Random Commen with Id 120
121,25,6,77,3,Some Random Commen with Id 121
122,25,6,60,2,Some Random Commen with Id 122
123,26,9,73,9,Some Random Commen with Id 123
124,26,9,108,3,Some Random Commen with Id 124
125,26,9,182,0,Some Random Commen with Id 125
126,26,9,129,2,Some Random Commen with Id 126
127,26,9,181,5,Some Random Commen with Id 127
128,26,9,68,1,Some Random Commen with Id 128
129,26,9,22,2,Some Random Commen with Id 129
130,26,9,187,8,Some Random Commen with Id 130
131,28,1,18,6,Some Random Commen with Id 131
132,28,1,7,8,Some Random Commen with Id 132
133,28,1,176,1,Some Random Commen with Id 133
134,28,1,135,8,Some Random Commen with Id 134
135,28,1,33,2,Some Random Commen with Id 135
136,28,1,91,6,Some Random Commen with Id 136
137,28,1,85,0,Some Random Commen with Id 137
138,28,1,60,2,Some Random Commen with Id 138
139,29,2,127,8,Some Random Commen with Id 139
140,29,2,2,8,Some Random Commen with Id 140
141,29,2,113,0,Some Random Commen with Id 141
142,29,2,118,8,Some Random Commen with Id 142
143,29,2,12,4,Some Random Commen with Id 143
144,29,2,121,2,Some Random Commen with Id 144
145,29,2,169,4,Some Random Commen with Id 145
146,30,6,13,6,Some Random Commen with Id 146
147,30,6,147,6,Some Random Commen with Id 147
148,30,6,89,9,Some Random Commen with Id 148
149,31,8,25,3,Some Random Commen with Id 149
150,31,8,13,9,Some Random Commen with Id 150
151,32,6,131,7,Some Random Commen with Id 151
152,32,6,142,8,Some Random Commen with Id 152
153,32,6,92,6,Some Random Commen with Id 153
154,32,6,17,1,Some Random Commen with Id 154
155,32,6,192,9,Some Random Commen with Id 155
156,32,6,71,8,Some Random Commen with Id 156
157,34,9,161,8,Some Random Commen with Id 157
158,34,9,127,4,Some Random Commen with Id 158
159,34,9,197,2,Some Random Commen with Id 159
160,34,9,71,9,Some Random Commen with Id 160
161,34,9,198,2,Some Random Commen with Id 161
162,34,9,123,8,Some Random Commen with Id 162
163,34,9,142,3,Some Random Commen with Id 163
164,35,7,199,7,Some Random Commen with Id 164
165,36,8,39,9,Some Random Commen with Id 165
166,36,8,191,4,Some Random Commen with Id 166
167,36,8,168,9,Some Random Commen with Id 167
168,36,8,10,3,Some Random Commen with Id 168
169,36,8,4,8,Some Random Commen with Id 169
170,36,8,185,5,Some Random Commen with Id 170
171,36,8,45,5,Some Random Commen with Id 171
172,36,8,145,0,Some Random Commen with Id 172
173,36,8,139,9,Some Random Commen with Id 173
174,37,8,142,2,Some Random Commen with Id 174
175,37,8,23,9,Some Random Commen with Id 175
176,37,8,59,9,Some Random Commen with Id 176
177,37,8,14,7,Some Random Commen with Id 177
178,37,8,36,7,Some Random Commen with Id 178
179,38,3,16,7,Some Random Commen with Id 179
